"downloaded","item_id","item_definition","category","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
2025-11-24,1,"baa baa","sounds",0.46,0.52,0.55,0.66,0.69,0.7,0.66,0.78,0.78,0.78,0.79,0.82,0.89,0.8,0.79
2025-11-24,2,"choo choo","sounds",0.27,0.32,0.39,0.51,0.56,0.6,0.67,0.71,0.76,0.84,0.81,0.85,0.92,0.85,0.88
2025-11-24,3,"cockadoodledoo","sounds",0.13,0.1,0.14,0.22,0.22,0.29,0.31,0.37,0.43,0.45,0.49,0.53,0.7,0.54,0.58
2025-11-24,4,"grrr","sounds",0.54,0.5,0.54,0.63,0.61,0.65,0.63,0.73,0.76,0.76,0.75,0.8,0.9,0.79,0.8
2025-11-24,5,"meow","sounds",0.49,0.47,0.55,0.67,0.69,0.75,0.76,0.8,0.86,0.88,0.88,0.91,0.96,0.91,0.92
2025-11-24,6,"moo","sounds",0.54,0.52,0.62,0.73,0.73,0.77,0.8,0.84,0.87,0.88,0.88,0.91,0.95,0.92,0.91
2025-11-24,7,"ouch","sounds",0.4,0.41,0.49,0.6,0.59,0.66,0.7,0.75,0.78,0.84,0.81,0.83,0.93,0.86,0.86
2025-11-24,8,"quack quack","sounds",0.45,0.39,0.48,0.58,0.58,0.67,0.68,0.77,0.78,0.82,0.83,0.84,0.93,0.86,0.88
2025-11-24,9,"uh oh","sounds",0.76,0.69,0.78,0.87,0.84,0.88,0.85,0.87,0.89,0.9,0.89,0.92,0.97,0.91,0.87
2025-11-24,10,"vroom","sounds",0.48,0.4,0.5,0.56,0.53,0.61,0.57,0.68,0.69,0.73,0.69,0.7,0.85,0.72,0.72
2025-11-24,11,"woof woof","sounds",0.58,0.57,0.63,0.74,0.72,0.77,0.75,0.8,0.84,0.86,0.84,0.9,0.94,0.89,0.89
2025-11-24,12,"yum yum","sounds",0.55,0.45,0.55,0.58,0.55,0.61,0.59,0.68,0.73,0.73,0.73,0.74,0.86,0.79,0.78
2025-11-24,13,"alligator","animals",0.02,0.04,0.06,0.12,0.11,0.18,0.24,0.3,0.39,0.46,0.48,0.5,0.74,0.65,0.66
2025-11-24,14,"animal","animals",0.05,0.07,0.1,0.19,0.19,0.27,0.31,0.44,0.49,0.54,0.56,0.61,0.78,0.71,0.71
2025-11-24,15,"ant","animals",0.04,0.06,0.1,0.17,0.18,0.2,0.25,0.36,0.42,0.48,0.5,0.54,0.74,0.63,0.64
2025-11-24,16,"bear","animals",0.31,0.28,0.36,0.49,0.48,0.55,0.57,0.66,0.73,0.76,0.78,0.83,0.91,0.86,0.83
